*type	project_id	*submitter_id	core_metadata_collections.submitter_id	*data_category	*data_format	*data_type	*experimental_strategy	*file_name	*file_size	*md5sum	consent_codes	object_id	rna_expression_workflows	state_comment
gene_expression	cancer_commons_program-demo_data_project	29627_clinical_31	submitter_MZ	Transcriptome Profiling	TXT	Gene Expression Quantification	scRNA-Seq	her1002t8asc.tsv	177955	d30766ee83ddce03c4968fe76af97807				
gene_expression	cancer_commons_program-demo_data_project	34854_clinical_55	submitter_MZ	Transcriptome Profiling	TSV	Splice Junction Quantification	scRNA-Seq	0fo4jy98f7q9.tsv	572984	9576e17ed7fd7192735f36b42a2758e3				
gene_expression	cancer_commons_program-demo_data_project	53814_clinical_61	submitter_MZ	Transcriptome Profiling	MEX	Exon Expression Quantification	m6A MeRIP-Seq	m7ddjep27c3w.tsv	764335	e6cb8d27106311a3e3f4dcbb5dcdc4bc				
gene_expression	cancer_commons_program-demo_data_project	26557_clinical_83	submitter_MZ	Transcriptome Profiling	TXT	Exon Expression Quantification	scRNA-Seq	f20ijz70ff22.tsv	190014	af0d721358cd4191706a0c34d005fce9				
gene_expression	cancer_commons_program-demo_data_project	54240_clinical_78	submitter_MZ	Transcriptome Profiling	TXT	Gene Expression Quantification	m6A MeRIP-Seq	7mwplxk9ae6y.tsv	603965	7e7fa987a43d7320dbc68266b78b8ee9				
gene_expression	cancer_commons_program-demo_data_project	91519_clinical_55	submitter_MZ	Transcriptome Profiling	TXT	Gene Expression Quantification	Total RNA-Seq	hg1538t1yy2c.tsv	120286	d3d451345a937eef829281e998c0715c				
gene_expression	cancer_commons_program-demo_data_project	33141_clinical_73	submitter_MZ	Transcriptome Profiling	TSV	Isoform Expression Quantification	Total RNA-Seq	unwqjvqzu8ak.tsv	843098	eeb7e6688b6bbf199abe1e3870ad184f				
gene_expression	cancer_commons_program-demo_data_project	42318_clinical_37	submitter_MZ	Transcriptome Profiling	CSV	Gene Expression Quantification	Total RNA-Seq	hj60pp58ez1p.tsv	818002	06b8348660d10c0a2251f7814ea2aea8				
gene_expression	cancer_commons_program-demo_data_project	18219_clinical_38	submitter_MZ	Transcriptome Profiling	MEX	Exon Expression Quantification	m6A MeRIP-Seq	rhf62m7pcw8s.tsv	924125	be95a4d901391f13ad35aea79f720121				
gene_expression	cancer_commons_program-demo_data_project	85800_clinical_45	submitter_MZ	Transcriptome Profiling	CSV	Isoform Expression Quantification	m6A MeRIP-Seq	exnnrz6oxrj8.tsv	12728	185715e415b2f803c9c2d8cb6b1750b4				
gene_expression	cancer_commons_program-demo_data_project	60978_clinical_28	submitter_MZ	Transcriptome Profiling	TXT	Isoform Expression Quantification	scRNA-Seq	nwj7iuyioet8.tsv	276856	98d57cd499d58fc19d1fe05cd3ad2325				
gene_expression	cancer_commons_program-demo_data_project	69131_clinical_99	submitter_MZ	Transcriptome Profiling	HDF5	Isoform Expression Quantification	RNA-Seq	6wbntv2np6eg.tsv	576510	b00ce7d111e41a2e820dcaa5c40ca3b8				
gene_expression	cancer_commons_program-demo_data_project	55217_clinical_72	submitter_MZ	Transcriptome Profiling	MEX	Exon Expression Quantification	scRNA-Seq	jwy3k015kwdq.tsv	660215	d6d0bd9cb94f84b24eafe9e99f932b56				
gene_expression	cancer_commons_program-demo_data_project	16146_clinical_59	submitter_MZ	Transcriptome Profiling	HDF5	Isoform Expression Quantification	Total RNA-Seq	xvpswzzylhff.tsv	574392	1cf42bd3435f9d2652883de24c472eb8				
