*type	project_id	*submitter_id	core_metadata_collections.submitter_id	*data_category	*data_format	*data_type	*experimental_strategy	*file_name	*file_size	*md5sum	consent_codes	object_id	rna_expression_workflows	state_comment
gene_expression	cancer_commons_program-demo_data_project	56025_clinical_42	submitter_1	Transcriptome Profiling	HDF5	Gene Expression Quantification	m6A MeRIP-Seq	dh3zbhlr94r4.tsv	591414	df30c183c7d4874d63b8fc61043ea88d				
gene_expression	cancer_commons_program-demo_data_project	38778_clinical_20	submitter_2	Transcriptome Profiling	HDF5	Exon Expression Quantification	scRNA-Seq	w5uzk5vv0kth.tsv	386315	7cbfd148da4b0ef44ebf64d18ec0c68b				
gene_expression	cancer_commons_program-demo_data_project	26851_clinical_67	submitter_3	Transcriptome Profiling	HDF5	Isoform Expression Quantification	RNA-Seq	chdsh833lv77.tsv	4758	15c140db772324ba4ce9ece2d612662d				
gene_expression	cancer_commons_program-demo_data_project	48025_clinical_65	submitter_4	Transcriptome Profiling	CSV	Gene Expression Quantification	RNA-Seq	8krm8en94vjb.tsv	208676	dfd4cf8d84fbcf8757b0d3648bca8c63				
gene_expression	cancer_commons_program-demo_data_project	43900_clinical_55	submitter_5	Transcriptome Profiling	TXT	Exon Expression Quantification	RNA-Seq	ad6cxgjnkzbq.tsv	921752	0fac2e592349a5f11c1c987b36361657				
gene_expression	cancer_commons_program-demo_data_project	96581_clinical_63	submitter_6	Transcriptome Profiling	TXT	Splice Junction Quantification	m6A MeRIP-Seq	1db2uvfxqsen.tsv	383593	7474acda87b9df24a2a37afaf1b4961c				
gene_expression	cancer_commons_program-demo_data_project	67474_clinical_92	submitter_7	Transcriptome Profiling	TXT	Gene Expression Quantification	scRNA-Seq	14e7lyvk63r7.tsv	132160	1d97c32bef8bbf34b703ade7c1d47799				
gene_expression	cancer_commons_program-demo_data_project	17737_clinical_43	submitter_8	Transcriptome Profiling	MEX	Splice Junction Quantification	Total RNA-Seq	931anh4dks4h.tsv	940061	40fa8612e67e09a9e29bca5a1d6dc216				
gene_expression	cancer_commons_program-demo_data_project	65665_clinical_24	submitter_9	Transcriptome Profiling	TXT	Gene Expression Quantification	m6A MeRIP-Seq	whx5ghkn6mmk.tsv	732806	4a8bb41651245aa3d6509b6206698d40				
gene_expression	cancer_commons_program-demo_data_project	54062_clinical_42	submitter_10	Transcriptome Profiling	CSV	Splice Junction Quantification	scRNA-Seq	mvo2lh9mmtbw.tsv	980173	3bb4c341cc4b06d9fb06e8d2a4e498cd				
gene_expression	cancer_commons_program-demo_data_project	95049_clinical_74	submitter_11	Transcriptome Profiling	TSV	Exon Expression Quantification	Total RNA-Seq	taauqm06ddzy.tsv	242942	b90962248050f870ebd29d385933da01				
gene_expression	cancer_commons_program-demo_data_project	10103_clinical_11	submitter_12	Transcriptome Profiling	CSV	Splice Junction Quantification	m6A MeRIP-Seq	9kttf04xcovu.tsv	615503	a8065b0418913ea4c7b1ce385673bbcd				
gene_expression	cancer_commons_program-demo_data_project	35265_clinical_30	submitter_13	Transcriptome Profiling	CSV	Gene Expression Quantification	Total RNA-Seq	dagoczh9b6dz.tsv	174713	f459239e26e88cbd39786d036bf178c0				
gene_expression	cancer_commons_program-demo_data_project	74959_clinical_53	submitter_14	Transcriptome Profiling	TXT	Gene Expression Quantification	RNA-Seq	2fw8zaarh7cp.tsv	556892	083f9ba574c6344ab304334985e4ff90				
gene_expression	cancer_commons_program-demo_data_project	21321_clinical_47	submitter_15	Transcriptome Profiling	HDF5	Exon Expression Quantification	Total RNA-Seq	glnbzpvlr9we.tsv	570646	8ff8563d5db1245d301ff0274ca194cf				
gene_expression	cancer_commons_program-demo_data_project	38250_clinical_27	submitter_16	Transcriptome Profiling	CSV	Isoform Expression Quantification	Total RNA-Seq	4f1thbc005zf.tsv	751809	95b1fe92f0c97a51f0f8c2813f6ae073				
gene_expression	cancer_commons_program-demo_data_project	48676_clinical_45	submitter_17	Transcriptome Profiling	TXT	Exon Expression Quantification	Total RNA-Seq	l6l4af2hfkio.tsv	868184	c10f3447445eab5e3db8a2c6a38edf10				
gene_expression	cancer_commons_program-demo_data_project	28959_clinical_87	submitter_18	Transcriptome Profiling	MEX	Isoform Expression Quantification	scRNA-Seq	bouwkpyhwbl8.tsv	324843	f90bb3ccae0232b84aedab6098457ec3				
gene_expression	cancer_commons_program-demo_data_project	41938_clinical_43	submitter_19	Transcriptome Profiling	HDF5	Splice Junction Quantification	m6A MeRIP-Seq	5w15iy6j3c2c.tsv	121952	74969d14e346cd8e8f2ba61f4ace9a18				
gene_expression	cancer_commons_program-demo_data_project	99019_clinical_60	submitter_20	Transcriptome Profiling	CSV	Splice Junction Quantification	RNA-Seq	scmzd7kex3m7.tsv	877161	1c8ee13a720356e067eec903046a58bb				
gene_expression	cancer_commons_program-demo_data_project	73432_clinical_94	submitter_21	Transcriptome Profiling	MEX	Isoform Expression Quantification	Total RNA-Seq	esu0c21fncow.tsv	2884	a9afe426e2ae539eb22bb52085c34c69				
gene_expression	cancer_commons_program-demo_data_project	73964_clinical_49	submitter_22	Transcriptome Profiling	CSV	Gene Expression Quantification	m6A MeRIP-Seq	h2fdbonpzvqm.tsv	444486	f2467d78cd869aae74d85cd3c2357eae				
gene_expression	cancer_commons_program-demo_data_project	51840_clinical_48	submitter_23	Transcriptome Profiling	MEX	Gene Expression Quantification	m6A MeRIP-Seq	93l041l41h8n.tsv	540505	88991f4470babf7cfdd6b6ac0a7809cb				
gene_expression	cancer_commons_program-demo_data_project	66021_clinical_99	submitter_24	Transcriptome Profiling	TXT	Gene Expression Quantification	RNA-Seq	566r2nybuw7g.tsv	6474	ecf5ee3d218130aedd0d14c9624468d8				
gene_expression	cancer_commons_program-demo_data_project	59015_clinical_32	submitter_25	Transcriptome Profiling	TSV	Exon Expression Quantification	scRNA-Seq	dcq2ojsxsd4l.tsv	858607	59285aa7c84c89d3b2dff7643b00c9a3				
gene_expression	cancer_commons_program-demo_data_project	21666_clinical_53	submitter_26	Transcriptome Profiling	TXT	Gene Expression Quantification	Total RNA-Seq	vdslsfw90g7m.tsv	207726	e203bdc20f14bc8d546bd03d92a70e6f				
gene_expression	cancer_commons_program-demo_data_project	13775_clinical_53	submitter_27	Transcriptome Profiling	TXT	Gene Expression Quantification	Total RNA-Seq	r5t9jx4oxqnt.tsv	772646	27b38de75659e9a0451cde28bfd6b6c7				
gene_expression	cancer_commons_program-demo_data_project	68008_clinical_87	submitter_28	Transcriptome Profiling	MEX	Splice Junction Quantification	scRNA-Seq	vuve8rir5pri.tsv	510780	c6d5ad8f7268b1f6b78b7a03644d2527				
gene_expression	cancer_commons_program-demo_data_project	47392_clinical_59	submitter_29	Transcriptome Profiling	HDF5	Gene Expression Quantification	Total RNA-Seq	eirxjse2fb15.tsv	343551	28660e1b1d3e53e15dd79503d363e681				
gene_expression	cancer_commons_program-demo_data_project	85379_clinical_73	submitter_30	Transcriptome Profiling	CSV	Splice Junction Quantification	scRNA-Seq	6jjptadwu4c4.tsv	806353	296f6393d4da6b992c1ee1ad355c7500				
gene_expression	cancer_commons_program-demo_data_project	18566_clinical_66	submitter_31	Transcriptome Profiling	TXT	Isoform Expression Quantification	scRNA-Seq	xclfxs5yj2n0.tsv	904413	8a4e3f4d0d3c3b3e8f4e8bd02ca16e99				
gene_expression	cancer_commons_program-demo_data_project	75364_clinical_31	submitter_32	Transcriptome Profiling	MEX	Splice Junction Quantification	m6A MeRIP-Seq	bhucoj5hjlal.tsv	927962	bde90e4e8c0db73f4cf1f2fd3db8ddb8				
gene_expression	cancer_commons_program-demo_data_project	84596_clinical_18	submitter_33	Transcriptome Profiling	MEX	Gene Expression Quantification	scRNA-Seq	9q9uwngu4ilx.tsv	561672	646d0247ff826e1e8201b5a245b27f77				
gene_expression	cancer_commons_program-demo_data_project	31513_clinical_77	submitter_34	Transcriptome Profiling	CSV	Gene Expression Quantification	m6A MeRIP-Seq	6zd2bajzs5bh.tsv	906722	e83de1853b79f009f9ad125d08b1a4cb				
gene_expression	cancer_commons_program-demo_data_project	71721_clinical_10	submitter_35	Transcriptome Profiling	TSV	Exon Expression Quantification	Total RNA-Seq	wqmja0vhxs1m.tsv	137630	c8197a1d4faebf0efe0d0676a61ad88d				
gene_expression	cancer_commons_program-demo_data_project	77217_clinical_73	submitter_36	Transcriptome Profiling	CSV	Splice Junction Quantification	Total RNA-Seq	axmk84dr9d6m.tsv	632324	ecd6585c65a4f99d2788f6a9f48330d7				
gene_expression	cancer_commons_program-demo_data_project	40385_clinical_24	submitter_37	Transcriptome Profiling	MEX	Exon Expression Quantification	RNA-Seq	3unyuvxjram5.tsv	849655	2df4b3a6661398211f06704b2b35d040				
gene_expression	cancer_commons_program-demo_data_project	24192_clinical_52	submitter_38	Transcriptome Profiling	TSV	Isoform Expression Quantification	m6A MeRIP-Seq	oo5ee9ebbfhg.tsv	643885	21f21c449369f4b102b8b3662e8a24de				
gene_expression	cancer_commons_program-demo_data_project	33756_clinical_84	submitter_39	Transcriptome Profiling	TSV	Splice Junction Quantification	scRNA-Seq	sttl8h4iu54q.tsv	347306	52bb1c355ccf01306e55c697c0883111				
